index,source,target,distanceNorm
0,24,28,483.79232719905934
1,24,44,191.83385042571578
2,28,44,106.21209287829204
3,24,46,1394.6144474194964
4,28,46,674.7126383045037
5,44,46,278.3103970986159
6,24,47,322.32310482100104
7,28,47,154.2695680507742
8,44,47,58.509031408049644
9,46,47,432.21560627310976
10,24,51,300.07545298709397
11,28,51,217.22324224007252
12,44,51,41.95713091645771
13,47,51,105.17453638772012
14,46,51,494.87987873121114
15,24,63,30.082890617252467
16,28,63,18.06256109481916
17,44,63,2.879042883250457
18,47,63,8.271948092424951
19,46,63,42.25748367263094
20,51,63,3.791732188646635
21,24,81,169.95322084803152
22,28,81,132.68457364670547
23,44,81,29.740717129216428
24,47,81,67.95180415657273
25,46,81,305.9336138382422
26,51,81,24.876875345318542
27,63,81,3.5145565047388327
28,24,89,11.030133027327977
29,28,89,5.2783232039894035
30,44,89,3.251646903820817
31,47,89,5.107328544916203
32,46,89,19.5736608723986
33,51,89,5.959369288962557
34,63,89,0.5692407950472467
35,81,89,3.316333035828127
36,24,103,2111.545199540992
37,28,103,1269.3684531145962
38,44,103,393.841883066287
39,47,103,772.0485783501211
40,46,103,3444.073568787454
41,51,103,596.9966282743281
42,63,103,52.3223398076133
43,81,103,370.1629761854166
44,89,103,31.352444501112103
45,24,104,390.8193576720926
46,28,104,144.48584016886963
47,44,104,83.4504653831442
48,47,104,115.92672871775257
49,46,104,525.4656523155821
50,51,104,172.9836938813096
51,63,104,14.153059345205207
52,81,104,106.75883661297406
53,89,104,4.602858883363792
54,103,104,1017.3490586085256
55,24,107,22.696119682094437
56,28,107,10.470610735687874
57,44,107,6.541076968846955
58,47,107,10.202062702763966
59,46,107,39.842308073724624
60,51,107,12.1328431580886
61,63,107,1.1510759771629338
62,81,107,6.783798716477539
63,89,107,0.12513635655290634
64,104,107,9.12998144134189
65,103,107,64.82117103715981
66,24,114,146.21003867567683
67,28,114,47.493107796053096
68,44,114,31.652683921968634
69,47,114,31.03055803476561
70,46,114,169.6916996047431
71,51,114,68.74325300692762
72,63,114,5.355858727527732
73,81,114,43.18296570189978
74,89,114,1.9404139572442518
75,104,114,33.05877852862425
76,103,114,397.14437502656295
77,107,114,3.805261592077861
78,24,119,259.5227449813705
79,28,119,163.40671795089747
80,44,119,25.40467791519685
81,47,119,75.22739314604672
82,46,119,376.6855086630683
83,51,119,29.187867454347117
84,63,119,0.6771501834615439
85,81,119,27.089180727329396
86,89,119,5.015257767010922
87,104,119,127.9875897828212
88,103,119,452.29702353124515
89,107,119,10.156459404706249
90,114,119,49.49568617450805
91,24,121,33.06030855539972
92,28,121,8.80708912405967
93,44,121,7.699944749033108
94,47,121,9.884624647597999
95,46,121,42.79269553883859
96,51,121,17.52929009591001
97,63,121,1.468514032328899
98,81,121,10.593055378469122
99,89,121,0.33003244223440575
100,104,121,6.613342400158669
101,103,121,92.92110445266125
102,107,121,0.6348761103319308
103,114,121,1.9006332610820689
104,119,121,13.330839956365903
105,24,122,10.581792681371924
106,28,122,5.683964469378214
107,44,122,3.187598282969952
108,47,122,5.128678085199824
109,46,122,19.808505815518437
110,51,122,5.596427104140989
111,63,122,0.547891254763625
112,81,122,3.0601385524246676
