lemma,pos,ner
Holmes,NNP,PERSON
tear,VBD,O
it,PRP,O
open,JJ,O
and,CC,O
burst,VBD,O
out,RP,O
laugh,VBG,O
.,.,O
"""",``,O
well,UH,O
",",",",O
well,UH,O
!,.,O
what,WP,O
next,RB,O
?,.,O
"""",``,O
say,VBD,O
he,PRP,O
.,.,O
"""",'',O
Brother,NNP,O
Mycroft,NNP,PERSON
be,VBZ,O
come,VBG,O
round,RB,O
.,.,O
"""",``,O
"""",``,O
why,WRB,O
not,RB,O
?,.,O
"""",``,O
I,PRP,O
ask,VBD,O
.,.,O
"""",'',O
why,WRB,O
not,RB,O
?,.,O
it,PRP,O
be,VBZ,O
as,IN,O
if,IN,O
you,PRP,O
meet,VBD,O
a,DT,O
tram,NN,O
-,HYPH,O
car,NN,O
come,VBG,O
down,RP,O
a,DT,O
country,NN,O
lane,NN,O
.,.,O
Mycroft,NNP,PERSON
have,VBZ,O
he,PRP$,O
rail,NNS,O
and,CC,O
he,PRP,O
run,VBZ,O
on,IN,O
they,PRP,O
.,.,O
he,PRP$,O
pall,NN,O
mall,NN,O
lodgings,NNS,O
",",",",O
the,DT,O
Diogenes,NNP,PERSON
Club,NNP,PERSON
",",",",O
Whitehall,NNP,ORGANIZATION
--,:,O
that,WDT,O
be,VBZ,O
he,PRP$,O
cycle,NN,O
.,.,O
once,RB,O
",",",",O
and,CC,O
only,RB,O
once,RB,O
",",",",O
he,PRP,O
have,VBZ,O
be,VBN,O
here,RB,O
.,.,O
what,WDT,O
upheaval,NN,O
can,MD,O
possibly,RB,O
have,VB,O
derail,VBN,O
he,PRP,O
?,.,O
"""",``,O
"""",``,O
do,VBZ,O
he,PRP,O
not,RB,O
explain,VB,O
?,.,O
"""",``,O
Holmes,NNP,PERSON
hand,VBD,O
I,PRP,O
he,PRP$,O
brother,NN,O
's,POS,O
telegram,NN,O
.,.,O
must,MD,O
see,VB,O
you,PRP,O
over,IN,O
Cadogen,NNP,LOCATION
West,NNP,LOCATION
.,.,O
come,VBG,O
at,IN,O
once,RB,O
.,.,O
Mycroft,NNP,PERSON
.,.,O
"""",``,O
Cadogen,NNP,PERSON
West,NNP,PERSON
?,.,O
I,PRP,O
have,VBP,O
hear,VBN,O
the,DT,O
name,NN,O
.,.,O
"""",``,O
"""",``,O
it,PRP,O
recall,VBZ,O
nothing,NN,O
to,IN,O
my,PRP$,O
mind,NN,O
.,.,O
but,CC,O
that,DT,O
Mycroft,NNP,PERSON
should,MD,O
break,VB,O
out,RP,O
in,IN,O
this,DT,O
erratic,JJ,O
fashion,NN,O
!,.,O
a,DT,O
planet,NN,O
might,MD,O
as,RB,O
well,RB,O
leave,VB,O
its,PRP$,O
orbit,NN,O
.,.,O
by,IN,O
the,DT,O
way,NN,O
",",",",O
do,VBP,O
you,PRP,O
know,VB,O
what,WP,O
Mycroft,NNP,PERSON
be,VBZ,O
?,.,O
"""",``,O
I,PRP,O
have,VBD,O
some,DT,O
vague,JJ,O
recollection,NN,O
of,IN,O
a,DT,O
explanation,NN,O
at,IN,O
the,DT,O
time,NN,O
of,IN,O
the,DT,O
adventure,NN,O
of,IN,O
the,DT,O
greek,JJ,O
interpreter,NN,O
.,.,O
"""",'',O
you,PRP,O
tell,VBD,O
I,PRP,O
that,IN,O
he,PRP,O
have,VBD,O
some,DT,O
small,JJ,O
office,NN,O
under,IN,O
the,DT,O
british,JJ,MISC
government,NN,O
.,.,O
"""",``,O
Holmes,NNP,PERSON
chuckle,VBD,O
.,.,O
"""",'',O
I,PRP,O
do,VBD,O
not,RB,O
know,VB,O
you,PRP,O
quite,RB,O
so,RB,O
well,RB,O
in,IN,O
those,DT,O
day,NNS,O
.,.,O
one,CD,O
have,VBZ,O
to,TO,O
be,VB,O
discreet,JJ,O
when,WRB,O
one,CD,O
talk,NNS,O
of,IN,O
high,JJ,O
matter,NNS,O
of,IN,O
state,NN,O
.,.,O
you,PRP,O
be,VBP,O
right,JJ,O
in,IN,O
think,VBG,O
that,IN,O
he,PRP,O
under,IN,O
the,DT,O
british,JJ,MISC
government,NN,O
.,.,O
you,PRP,O
would,MD,O
also,RB,O
be,VB,O
right,JJ,O
in,IN,O
a,DT,O
sense,NN,O
if,IN,O
you,PRP,O
say,VBD,O
that,IN,O
occasionally,RB,O
he,PRP,O
be,VBZ,O
the,DT,O
british,JJ,MISC
government,NN,O
.,.,O
"""",``,O
"""",``,O
my,PRP$,O
dear,JJ,O
Holmes,NNP,PERSON
!,.,O
"""",``,O
"""",``,O
I,PRP,O
think,VBD,O
I,PRP,O
might,MD,O
surprise,VB,O
you,PRP,O
.,.,O
Mycroft,NNP,PERSON
draw,VBZ,O
four,CD,O
hundred,CD,O
and,CC,O
fifty,CD,O
pound,NNS,O
a,DT,O
year,NN,O
",",",",O
remain,VBZ,O
a,DT,O
subordinate,JJ,O
",",",",O
have,VBZ,O
no,DT,O
ambition,NNS,O
of,IN,O
any,DT,O
kind,NN,O
",",",",O
will,MD,O
receive,VB,O
neither,CC,O
honour,VB,O
nor,CC,O
title,NN,O
",",",",O
but,CC,O
remain,VBZ,O
the,DT,O
most,RBS,O
indispensable,JJ,O
man,NN,O
in,IN,O
the,DT,O
country,NN,O
.,.,O
"""",``,O
"""",``,O
but,CC,O
how,WRB,O
?,.,O
"""",``,O
"""",``,O
well,UH,O
",",",",O
he,PRP$,O
position,NN,O
be,VBZ,O
unique,JJ,O
.,.,O
he,PRP,O
have,VBZ,O
make,VBN,O
it,PRP,O
for,IN,O
himself,PRP,O
.,.,O
there,EX,O
have,VBZ,O
never,RB,O
be,VBN,O
anything,NN,O
like,IN,O
it,PRP,O
before,RB,O
",",",",O
nor,CC,O
will,MD,O
be,VB,O
again,RB,O
.,.,O
he,PRP,O
have,VBZ,O
the,DT,O
tidiest,JJS,O
and,CC,O
most,RBS,O
orderly,JJ,O
brain,NN,O
",",",",O
with,IN,O
the,DT,O
greatest,JJS,O
capacity,NN,O
for,IN,O
store,VBG,O
fact,NNS,O
",",",",O
of,IN,O
any,DT,O
man,NN,O
live,VBG,O
.,.,O
the,DT,O
same,JJ,O
great,JJ,O
power,NNS,O
which,WDT,O
I,PRP,O
have,VBP,O
turn,VBN,O
to,IN,O
the,DT,O
detection,NN,O
of,IN,O
crime,NN,O
he,PRP,O
have,VBZ,O
use,VBN,O
for,IN,O
this,DT,O
particular,JJ,O
business,NN,O
.,.,O
the,DT,O
conclusion,NNS,O
of,IN,O
every,DT,O
department,NN,O
be,VBP,O
pass,VBN,O
to,IN,O
he,PRP,O
",",",",O
and,CC,O
he,PRP,O
be,VBZ,O
the,DT,O
central,JJ,O
exchange,NN,O
",",",",O
the,DT,O
clearinghouse,NN,O
",",",",O
which,WDT,O
make,VBZ,O
out,RP,O
the,DT,O
balance,NN,O
.,.,O
all,DT,O
other,JJ,O
man,NNS,O
be,VBP,O
specialist,NNS,O
",",",",O
but,CC,O
he,PRP$,O
specialism,NN,O
be,VBZ,O
omniscience,NN,O
.,.,O
we,PRP,O
will,MD,O
suppose,VB,O
that,IN,O
a,DT,O
minister,NN,O
need,VBZ,O
information,NN,O
as,IN,O
to,IN,O
a,DT,O
point,NN,O
which,WDT,O
involve,VBZ,O
the,DT,O
Navy,NNP,ORGANIZATION
",",",",O
India,NNP,LOCATION
",",",",O
Canada,NNP,LOCATION
and,CC,O
the,DT,O
bimetallic,JJ,O
question,NN,O
;,:,O
he,PRP,O
could,MD,O
get,VB,O
he,PRP$,O
separate,JJ,O
advice,NNS,O
from,IN,O
various,JJ,O
department,NNS,O
upon,IN,O
each,DT,O
",",",",O
but,CC,O
only,RB,O
Mycroft,NNP,PERSON
can,MD,O
focus,VB,O
they,PRP,O
all,DT,O
",",",",O
and,CC,O
say,VB,O
offhand,JJ,O
how,WRB,O
each,DT,O
factor,NN,O
would,MD,O
affect,VB,O
the,DT,O
other,JJ,O
.,.,O
they,PRP,O
begin,VBD,O
by,IN,O
use,VBG,O
he,PRP,O
as,IN,O
a,DT,O
short,JJ,O
-,HYPH,O
cut,NN,O
",",",",O
a,DT,O
convenience,NN,O
;,:,O
now,RB,O
he,PRP,O
have,VBZ,O
make,VBN,O
himself,PRP,O
a,DT,O
essential,JJ,O
.,.,O
in,IN,O
that,DT,O
great,JJ,O
brain,NN,O
of,IN,O
he,PRP$,O
everything,NN,O
be,VBZ,O
pigeon,NN,O
-,HYPH,O
hole,VBN,O
and,CC,O
can,MD,O
be,VB,O
hand,VBN,O
out,RP,O
in,IN,O
a,DT,O
instant,NN,O
.,.,O
again,RB,O
and,CC,O
again,RB,O
he,PRP$,O
word,NN,O
have,VBZ,O
decide,VBN,O
the,DT,O
national,JJ,O
policy,NN,O
.,.,O
he,PRP,O
live,VBZ,O
in,IN,O
it,PRP,O
.,.,O
he,PRP,O
think,VBZ,O
of,IN,O
nothing,NN,O
else,RB,O
save,VB,O
when,WRB,O
",",",",O
as,IN,O
a,DT,O
intellectual,JJ,O
exercise,NN,O
",",",",O
he,PRP,O
unbend,VBZ,O
if,IN,O
I,PRP,O
call,VBP,O
upon,IN,O
he,PRP,O
and,CC,O
ask,VB,O
he,PRP,O
to,TO,O
advise,VB,O
I,PRP,O
on,IN,O
one,CD,O
of,IN,O
my,PRP$,O
little,JJ,O
problem,NNS,O
.,.,O
but,CC,O
Jupiter,NNP,LOCATION
be,VBZ,O
descend,VBG,O
to,IN,O
-,HYPH,O
day,NN,O
.,.,O
what,WP,O
on,IN,O
earth,NN,O
can,MD,O
it,PRP,O
mean,VB,O
?,.,O
who,WP,O
be,VBZ,O
Cadogan,NNP,PERSON
West,NNP,PERSON
",",",",O
and,CC,O
what,WP,O
be,VBZ,O
he,PRP,O
to,TO,O
Mycroft,NNP,PERSON
?,.,O
"""",``,O
"""",``,O
I,PRP,O
have,VBP,O
it,PRP,O
",",",",O
"""",``,O
I,PRP,O
cry,VBD,O
",",",",O
and,CC,O
plunge,VBD,O
among,IN,O
the,DT,O
litter,NN,O
of,IN,O
papers,NNS,O
upon,IN,O
the,DT,O
sofa,NN,O
.,.,O
"""",'',O
yes,UH,O
",",",",O
yes,UH,O
",",",",O
here,RB,O
he,PRP,O
be,VBZ,O
",",",",O
sure,JJ,O
enough,JJ,O
!,.,O
Cadogen,NNP,PERSON
West,NNP,PERSON
be,VBD,O
the,DT,O
young,JJ,O
man,NN,O
who,WP,O
be,VBD,O
find,VBN,O
dead,JJ,O
on,IN,O
the,DT,O
Underground,NNP,O
on,IN,O
Tuesday,NNP,DATE
morning,NN,TIME
.,.,O
"""",``,O
Holmes,NNP,PERSON
sit,VBD,O
up,RP,O
at,IN,O
attention,NN,O
",",",",O
he,PRP$,O
pipe,NN,O
halfway,RB,O
to,IN,O
he,PRP$,O
lip,NNS,O
.,.,O
"""",'',O
this,DT,O
must,MD,O
be,VB,O
serious,JJ,O
",",",",O
Watson,NNP,PERSON
.,.,O
a,DT,O
death,NN,O
which,WDT,O
have,VBZ,O
cause,VBN,O
my,PRP$,O
brother,NN,O
to,TO,O
alter,VB,O
he,PRP$,O
habit,NNS,O
can,MD,O
be,VB,O
no,DT,O
ordinary,JJ,O
one,CD,O
.,.,O
what,WP,O
in,IN,O
the,DT,O
world,NN,O
can,MD,O
he,PRP,O
have,VB,O
to,TO,O
do,VB,O
with,IN,O
it,PRP,O
?,.,O
the,DT,O
case,NN,O
be,VBD,O
featureless,JJ,O
as,IN,O
I,PRP,O
remember,VBP,O
it,PRP,O
.,.,O
the,DT,O
young,JJ,O
man,NN,O
have,VBD,O
apparently,RB,O
fall,VBN,O
out,IN,O
of,IN,O
the,DT,O
train,NN,O
and,CC,O
kill,VBD,O
himself,PRP,O
.,.,O
he,PRP,O
have,VBD,O
not,RB,O
be,VBN,O
rob,VBN,O
",",",",O
and,CC,O
there,EX,O
be,VBD,O
no,DT,O
particular,JJ,O
reason,NN,O
to,TO,O
suspect,VB,O
violence,NN,O
.,.,O
be,VBZ,O
that,DT,O
not,RB,O
so,RB,O
?,.,O
"""",``,O
"""",``,O
there,EX,O
have,VBZ,O
be,VBN,O
a,DT,O
inquest,NN,O
",",",",O
"""",'',O
say,VBD,O
I,PRP,O
",",",",O
"""",'',O
and,CC,O
a,DT,O
good,JJ,O
many,JJ,O
fresh,JJ,O
fact,NNS,O
have,VBP,O
come,VBN,O
out,RP,O
.,.,O
look,VBD,O
at,IN,O
more,RBR,O
closely,RB,O
",",",",O
I,PRP,O
should,MD,O
certainly,RB,O
say,VB,O
that,IN,O
it,PRP,O
be,VBD,O
a,DT,O
curious,JJ,O
case,NN,O
.,.,O
"""",``,O
"""",``,O
judge,VBG,O
by,IN,O
its,PRP$,O
effect,NN,O
upon,IN,O
my,PRP$,O
brother,NN,O
",",",",O
I,PRP,O
should,MD,O
think,VB,O
it,PRP,O
must,MD,O
be,VB,O
a,DT,O
most,RBS,O
extraordinary,JJ,O
one,NN,O
.,.,O
"""",``,O
he,PRP,O
snuggle,VBD,O
down,RP,O
in,IN,O
he,PRP$,O
armchair,NN,O
.,.,O
"""",'',O
now,RB,O
",",",",O
Watson,NNP,PERSON
",",",",O
let,VB,O
we,PRP,O
have,VB,O
the,DT,O
fact,NNS,O
.,.,O
"""",``,O
"""",``,O
the,DT,O
man,NN,O
's,POS,O
name,NN,O
be,VBD,O
Arthur,NNP,PERSON
Cadogan,NNP,PERSON
West,NNP,PERSON
.,.,O
he,PRP,O
be,VBD,O
twenty,CD,O
-,HYPH,O
seven,CD,O
year,NNS,O
of,IN,O
age,NN,O
",",",",O
unmarried,JJ,O
",",",",O
and,CC,O
a,DT,O
clerk,NN,O
at,IN,O
Woolwich,NNP,ORGANIZATION
Arsenal,NNP,ORGANIZATION
.,.,O
"""",``,O
"""",``,O
Government,NNP,O
employ,VBP,O
.,.,O
behold,VB,O
the,DT,O
link,NN,O
with,IN,O
Brother,NNP,O
Mycroft,NNP,PERSON
!,.,O
"""",``,O
"""",``,O
he,PRP,O
leave,VBD,O
Woolwich,NNP,ORGANIZATION
suddenly,RB,O
on,IN,O
Monday,NNP,DATE
night,NN,TIME
.,.,O
be,VBD,O
last,JJ,O
see,VBN,O
by,IN,O
he,PRP$,O
fiancee,NN,O
",",",",O
Miss,NNP,PERSON
Violet,NNP,PERSON
Westbury,NNP,PERSON
",",",",O
whom,WP,O
he,PRP,O
leave,VBD,O
abruptly,RB,O
in,IN,O
the,DT,O
fog,NN,O
about,IN,O
7.30,CD,O
that,DT,O
evening,NN,O
.,.,O
there,EX,O
be,VBD,O
no,DT,O
quarrel,NN,O
between,IN,O
they,PRP,O
and,CC,O
she,PRP,O
can,MD,O
give,VB,O
no,DT,O
motive,NN,O
for,IN,O
he,PRP$,O
action,NN,O
.,.,O
the,DT,O
next,JJ,O
thing,NN,O
hear,VBN,O
of,IN,O
he,PRP,O
be,VBD,O
when,WRB,O
he,PRP$,O
dead,JJ,O
body,NN,O
be,VBD,O
discover,VBN,O
by,IN,O
a,DT,O
plate,NN,O
-,HYPH,O
layer,NN,O
name,VBN,O
Mason,NNP,PERSON
",",",",O
just,RB,O
outside,IN,O
Aldgate,NNP,LOCATION
Station,NNP,LOCATION
on,IN,O
the,DT,O
Underground,NNP,O
system,NN,O
in,IN,O
London,NNP,LOCATION
.,.,O
"""",``,O
"""",``,O
when,WRB,O
?,.,O
"""",``,O
"""",``,O
the,DT,O
body,NN,O
be,VBD,O
find,VBN,O
at,IN,O
six,CD,O
on,IN,O
Tuesday,NNP,DATE
morning,NN,TIME
.,.,O
it,PRP,O
be,VBD,O
lie,VBG,O
wide,RB,O
of,IN,O
the,DT,O
metal,NNS,O
upon,IN,O
the,DT,O
left,JJ,O
hand,NN,O
of,IN,O
the,DT,O
track,NN,O
as,IN,O
one,CD,O
go,VBZ,O
eastward,RB,O
",",",",O
at,IN,O
a,DT,O
point,NN,O
close,NN,O
to,IN,O
the,DT,O
station,NN,O
",",",",O
where,WRB,O
the,DT,O
line,NN,O
emerge,VBZ,O
from,IN,O
the,DT,O
tunnel,NN,O
in,IN,O
which,WDT,O
it,PRP,O
run,VBZ,O
.,.,O
the,DT,O
head,NN,O
be,VBD,O
badly,RB,O
crush,VBN,O
--,:,O
a,DT,O
injury,NN,O
which,WDT,O
might,MD,O
well,RB,O
have,VB,O
be,VBN,O
cause,VBN,O
by,IN,O
a,DT,O
fall,NN,O
from,IN,O
the,DT,O
train,NN,O
.,.,O
the,DT,O
body,NN,O
could,MD,O
only,RB,O
have,VB,O
come,VBN,O
on,IN,O
the,DT,O
line,NN,O
in,IN,O
that,DT,O
way,NN,O
.,.,O
have,VBD,O
it,PRP,O
be,VBN,O
carry,VBN,O
down,RP,O
from,IN,O
any,DT,O
neighbour,VBG,O
street,NN,O
",",",",O
it,PRP,O
must,MD,O
have,VB,O
pass,VBN,O
the,DT,O
station,NN,O
barrier,NNS,O
",",",",O
where,WRB,O
a,DT,O
collector,NN,O
be,VBZ,O
always,RB,O
stand,VBG,O
.,.,O
this,DT,O
point,NN,O
seem,VBZ,O
absolutely,RB,O
certain,JJ,O
.,.,O
"""",``,O
"""",``,O
very,RB,O
good,JJ,O
.,.,O
the,DT,O
case,NN,O
be,VBZ,O
definite,JJ,O
enough,RB,O
.,.,O
the,DT,O
man,NN,O
",",",",O
dead,JJ,O
or,CC,O
alive,JJ,O
",",",",O
either,CC,O
fall,VBD,O
or,CC,O
be,VBD,O
precipitate,VBN,O
from,IN,O
a,DT,O
train,NN,O
.,.,O
so,RB,O
much,RB,O
be,VBZ,O
clear,JJ,O
to,IN,O
I,PRP,O
.,.,O
continue,VB,O
.,.,O
"""",``,O
"""",``,O
the,DT,O
train,NNS,O
which,WDT,O
traverse,VBP,O
the,DT,O
line,NNS,O
of,IN,O
rail,NN,O
beside,IN,O
which,WDT,O
the,DT,O
body,NN,O
be,VBD,O
find,VBN,O
be,VBP,O
those,DT,O
which,WDT,O
run,VBP,O
from,IN,O
west,NN,O
to,IN,O
east,NN,O
",",",",O
some,DT,O
be,VBG,O
purely,RB,O
Metropolitan,NNP,O
",",",",O
and,CC,O
some,DT,O
from,IN,O
Willesden,NNP,LOCATION
and,CC,O
outlying,JJ,O
junction,NNS,O
.,.,O
it,PRP,O
can,MD,O
be,VB,O
state,VBN,O
for,IN,O
certain,JJ,O
that,IN,O
this,DT,O
young,JJ,O
man,NN,O
",",",",O
when,WRB,O
he,PRP,O
meet,VBD,O
he,PRP$,O
death,NN,O
",",",",O
be,VBD,O
travel,VBG,O
in,IN,O
this,DT,O
direction,NN,O
at,IN,O
some,DT,O
late,JJ,O
hour,NN,O
of,IN,O
the,DT,O
night,NN,TIME
",",",",O
but,CC,O
at,IN,O
what,WDT,O
point,NN,O
he,PRP,O
enter,VBD,O
the,DT,O
train,NN,O
it,PRP,O
be,VBZ,O
impossible,JJ,O
to,TO,O
state,VB,O
.,.,O
"""",``,O
"""",``,O
he,PRP$,O
ticket,NN,O
",",",",O
of,IN,O
course,NN,O
",",",",O
would,MD,O
show,VB,O
that,IN,O
.,.,O
"""",``,O
"""",``,O
there,EX,O
be,VBD,O
no,DT,O
ticket,NN,O
in,IN,O
he,PRP$,O
pocket,NNS,O
.,.,O
"""",``,O
"""",``,O
no,DT,O
ticket,NN,O
!,.,O
dear,JJ,O
I,PRP,O
",",",",O
Watson,NNP,PERSON
",",",",O
this,DT,O
be,VBZ,O
really,RB,O
very,RB,O
singular,JJ,O
.,.,O
accord,VBG,O
to,IN,O
my,PRP$,O
experience,NN,O
it,PRP,O
be,VBZ,O
not,RB,O
possible,JJ,O
to,TO,O
reach,VB,O
the,DT,O
platform,NN,O
of,IN,O
a,DT,O
Metropolitan,NNP,MISC
train,NN,O
without,IN,O
exhibit,VBG,O
one,PRP,O
's,POS,O
ticket,NN,O
.,.,O
presumably,RB,O
",",",",O
then,RB,O
",",",",O
the,DT,O
young,JJ,O
man,NN,O
have,VBD,O
one,CD,O
.,.,O
be,VBD,O
it,PRP,O
