,count,dirty_character,strongly_suggested,similarity,clean_character
832,1,Mrs. Etherege,Mrs. Etherege,[2.0],
833,1,Mr. Trevor Bennett,,,
834,1,Mrs. Pringle,,,
835,1,Arthur Morstan,,,
836,1,Mr. William Morris,William Morris,[1.8744746321952062],
837,1,Mrs. Dixon,,,
838,1,Mrs. Stewart,,,
839,1,Mrs. Stoner,,,
840,1,Mrs. Moulton,,,
841,1,Mr. Treasurer,,,
842,1,Mrs. Carey,,,
843,1,Armour,,,
844,1,Mr. Theorist,,,
845,1,Mrs. Harold,,,
846,1,Atkinson,Atkinson,[2.0],
847,1,Mrs. Henry Baker,,,
848,1,Arthur H. Staunton,,,
849,1,Mrs. Turner,Mrs. Turner,[2.0],
850,1,Mrs. Shlessinger,,,
851,1,Carlton Club,,,
852,1,Archie Swindon,Archie,[1.6201736729460423],
853,1,Susan Dobney,,,
854,1,Teddy Baldwin,,,
855,1,Teddy Marvin,,,
856,1,Adolph Mayer,,,
857,1,Theophilus Johnson,,,
858,1,Thomas Carlyle,,,
859,1,Thor Mere,,,
860,1,Thor Place,,,
861,1,Thoreau,,,
862,1,Tito Castalotte,,,
863,1,Tobin,,,
864,1,Adler,Irene Adler,[1.632455532033676],
865,1,Todman,,,
866,1,Tom Bellamy,,,
867,1,Tom Dennis,,,
868,1,Tredannick Wartha,,,
869,1,Tregennis,,,
870,1,Trelawney Hope,,,
871,1,Trepoff,Trpoff,[1.5302967433402215],
872,1,"U. S. A.""

Holmes",,,
873,1,Uncle,,,
874,1,Uncle Ralph,,,
875,1,Underwood,,,
876,1,Upwood,,,
877,1,Tavernier,,,
878,1,Strasburg,,,
879,1,Valentine,,,
880,1,Stoner,,,
881,1,Signor Zamba,,,
882,1,Signora Victor Durando,,,
883,1,Silver Blaze,,,
884,1,Silvester,,,
885,1,Simon Bird,,,
886,1,Singleford,,,
887,1,Slater,,,
888,1,Alexander Holder,,,
889,1,Sophy Kratides,,,
890,1,Southerton,,,
891,1,Spencer John,,,
892,1,St. James,,,
893,1,St. Luke,,,
894,1,Alexander Hamilton Garrideb,,,
895,1,Alec MacDonald,Alec MacDonald,[2.0],
896,1,Starr,,,
897,1,Steele,,,
898,1,Steiler,,,
899,1,Aldrige,,,
900,1,Steve Dixie,,,
901,1,Steve Wilson,,,
902,1,Stevenson,,,
903,1,Stimson,,,
904,1,Uriah,,,
905,1,Van Deher,,,
906,1,Signor Castalotte,,,
907,1,Abraham Lincoln,,,
908,1,William Derbyshire,,,
909,1,William Hales,,,
910,1,William Morris,William Morris,[2.0],
911,1,William Whyte,,,
912,1,Willows,,,
913,1,Abernetty,Abernetty,[2.0],
914,1,Wilson Hargreave,,,
915,1,Wilson Kemp,,,
916,1,Windibank,James Windibank,[1.7559289460184544],
917,1,Windle,,,
918,1,Woodhouse,,,
919,1,Aberdonian,,,
920,1,Wordsworth Road,,,
921,1,Ye,,,
922,1,Youghal,Yough,[1.8164965809277263],
923,1,Young Overton,,,
924,1,Young Smith,,,
925,1,Young West,,,
926,1,Yoxley,,,
927,1,Zamba,,,
928,1,Zu Grafenstein,,,
929,1,de Merville,,,
930,1,Abe,,,
931,1,William Baskerville,,,
932,1,Willaby,,,
933,1,Van Jansen,,,
934,1,Wilhelm Gottsreich Sigismond von Ormstein,Wilhelm Gottsreich Sigismond von Ormstein,[2.0],
935,1,Van Shorst,,,
936,1,Vandeleur,,,
937,1,Victor Lynch,,,
938,1,Victoria,,,
939,1,Vincent Square,,,
940,1,Violet,,,
941,1,Violet Hunter,,,
942,1,Vittoria,,,
943,1,Vixen Tor,,,
944,1,Von Bischoff,,,
945,1,W. Long,,,
946,1,Wainwright,,,
947,1,Wallenstein,Wallenstein,[2.0],
948,1,Warburton,,,
949,1,Wardlaw,,,
950,1,Waylight,,,
951,1,West,,,
952,1,Westaway,,,
953,1,Whereat Hugo,,,
954,1,Whitaker,,,
955,1,White Hart,,,
956,1,Abrahams,Abrahams,[2.0],
957,1,Wilcox,,,
958,1,Signor Rulli,,,
959,1,Sigerson,,,
960,1,Musgrave Ritual,,,
961,1,Palladio,,,
962,1,Park Lane,,,
963,1,Pathan,,,
964,1,Patience Moran,,,
965,1,Patterson,Patterson / Grice Patersons,"[2.0, 1.5364378277661475]",
966,1,Paul Kratides,,,
967,1,Peckham,,,
968,1,Penrose Fisher,,,
969,1,Pete,Peter Jones,[1.547722557505166],
970,1,Peter Jones,Peter Jones,[2.0],
971,1,Peter Steiler,,,
972,1,Anne,,,
973,1,Philippe de Croy,,,
974,1,Pierrot,,,
975,1,Pietro Venucci,,,
976,1,Pinchin Lane,,,
977,1,Pinkerton,,,
978,1,Pinto,,,
979,1,Pitt,,,
980,1,Police-Constable Cook,,,
981,1,Pollack,,,
982,1,Poor Alice,,,
983,1,Porky,,,
984,1,Porky Shinwell,,,
985,1,Pancras,,,
986,1,Paganini,,,
987,1,Potter,,,
988,1,Anstruther,,,
989,1,Musgraves,,,
990,1,Archie Stamford,Archie,[1.597614304667197],
991,1,Archie,Archie,[2.0],
992,1,N. W. Got,,,
993,1,Nana Sahib,,,
994,1,Nancy Devoy,,,
995,1,Antonio,,,
996,1,Nathan Garrideb,,,
997,1,Near,,,
998,1,Ned,,,
999,1,Ned Hunter,,,
1000,1,Neil Gibson,,,
1001,1,Nelson,,,
1002,1,Nicholson,,,
1003,1,Nihilist Klopman,,,
1004,1,Norah Creina,,,
1005,1,Norlett,,,
1006,1,Norman Conquest,,,
1007,1,Norman Hugos,,,
1008,1,Norton,Morton / Godfrey Norton,"[1.6, 1.6201736729460423]",
1009,1,Oakshott,,,
1010,1,Odley,,,
1011,1,Oliver,,,
1012,1,Port Blair,,,
1013,1,Predergast,Prendergast,[1.7321629316004565],
1014,1,Sierra Blanco,,,
1015,1,Alton,,,
1016,1,Sam Brown,Sam Brown,[2.0],
1017,1,Samson,,,
1018,1,Samuel,,,
1019,1,Sandy Bain,,,
1020,1,Sanger,,,
1021,1,Aloysius Doran,,,
1022,1,Sarasate,Sarasate,[2.0],
1023,1,Savage,,,
1024,1,Allardyce,,,
1025,1,Schade,,,
1026,1,Schelmen der Stoff,,,
1027,1,Scotchman,,,
1028,1,Sebastian,,,
1029,1,Allan Water,,,
1030,1,Alison,,,
1031,1,Alicia Whittington,,,
1032,1,Alicia,,,
1033,1,Shipley,,,
1034,1,Alice Morphy,,,
1035,1,Shomu,,,
1036,1,Shoscombe,,,
1037,1,Shuman,,,
1038,1,Sidney Johnson,,,
1039,1,Salvator Rosa,,,
1040,1,SLANE,,,
1041,1,Pritchard,,,
1042,1,S.H,,,
1043,1,Professor Coram,,,
1044,1,Queen Anne,,,
1045,1,Rachel--who,,,
1046,1,Rajpootana,,,
1047,1,Ralph Musgrave,,,
1048,1,Raphael,,,
1049,1,Rear-Admiral Baskerville,,,
1050,1,Richard Brunton,,,
1051,1,Richards,,,
1052,1,Ricoletti,,,
1053,1,Ridling Thorpe,,,
1054,1,Robert Street,,,
1055,1,Robert Walsingham de Vere St. Simon,,,
1056,1,Roberts,,,
1057,1,Rochester Row,,,
1058,1,Rodney,,,
1059,1,Augusto Barelli,,,
1060,1,Andrew Rae,,,
1061,1,America Gennaro,,,
1062,1,Rudge-Whitworth,,,
1063,1,Rue de Trajan,,,
1064,1,Ruffian,,,
1065,1,Rumour,,,
1066,1,Ronald,Ronald Adair,[1.674199862463242],
1067,1,Moonlight,,,
1068,1,Mr. Sherlock,,,
1069,1,Herman Strauss,,,
1070,1,Hatherley Farm-house,,,
1071,1,Hayward,,,
1072,1,Heath,,,
1073,1,Heber C Kemball,,,
1074,1,Heinrich,,,
1075,1,Helen Stoner,,,
1076,1,Helston,,,
1077,1,Henri Murger,,,
1078,1,Henry Bakers,,,
1079,1,Henry Peters,,,
1080,1,Henry Staunton,,,
1081,1,Henry Ward Beecher,,,
1082,1,Herr Heidegger,,,
1083,1,Harry Pinner,,,
1084,1,Higgins,,,
1085,1,High Gable,,,
1086,1,High Holborn,,,
1087,1,Bovington,,,
1088,1,Hindoo,,,
1089,1,Hindoos,,,
1090,1,Bouguereau,,,
1091,1,Hoffman,,,
1092,1,Holdernesse,,,
1093,1,Boswell,Boswell,[2.0],
1094,1,Harry Wood,,,
1095,1,Harry Murcher,,,
1096,1,Holloway,,,
1097,1,Grecian,,,
1098,1,George Sand,George Sand,[2.0],
1099,1,Ghazis,,,
1100,1,Gibson,,,
1101,1,God,,,
1102,1,Bromley Brown,,,
1103,1,Godfrey Milner,,,
1104,1,Broderick,,,
1105,1,Gower,,,
1106,1,Grace,,,
1107,1,Graham,,,
1108,1,Grand Duke of Cassel-Felstein,,,
1109,1,Gray,,,
1110,1,Brethren,,,
1111,1,Harry,,,
1112,1,Grice Patersons,Patterson / Grice Patersons,"[1.5364378277661475, 2.0]",
1113,1,Groat,,,
1114,1,Guliolmi Whyte,,,
1115,1,Gustave Flaubert,Gustave Flaubert,[2.0],
1116,1,H. Lowenstein,,,
1117,1,Hafiz,Hafiz,[2.0],
1118,1,Halle,,,
1119,1,Hampstead Heath,,,
1120,1,Hankey,,,
1121,1,Hans Sloane,,,
1122,1,Harringby,,,
1123,1,Harris,,,
1124,1,Hollis,,,
1125,1,Borgia,,,
1126,1,John Holder,,,
1127,1,Jenkins,,,
1128,1,James Browner,,,
1129,1,James Calhoun,James Calhoun,[2.0],
1130,1,James Desmond,,,
1131,1,James H. Scott,,,
1132,1,James Lancaster,,,
1133,1,James Murdoch,,,
1134,1,James Saunders,,,
1135,1,James Smith,,,
1136,1,James Winter,,,
1137,1,Janet Tregellis,,,
1138,1,Jasper Meek,,,
1139,1,Jean Paul,,,
1140,1,Jephro,,,
1141,1,Boccaccio,,,
1142,1,Jephro Rucastle,,,
1143,1,Jeremy Dixon,,,
1144,1,Jimmie--even,,,
1145,1,Jimmy,,,
1146,1,Jimmy Griggs,,,
1147,1,Johann,,,
1148,1,Johann Faber,,,
1149,1,John Bull,,,
1150,1,John Cobb,,,
1151,1,John Garrideb,,,
1152,1,John H. Watson,John H. Watson,[2.0],
1153,1,John Hardy,John Hare,[1.6999579113843055],
1154,1,James Armitage,,,
1155,1,Jack Prendergast,Prendergast,[1.816496580927726],
1156,1,Holy Peters,,,
1157,1,Bodymaster J. H. Scott,,,
1158,1,Honourable Trelawney Hope,,,
1159,1,Horace Harker,Horace,[1.6454972243679027],
1160,1,Horsom,,,
1161,1,Hugh Pattins,,,
1162,1,Hugo Oberstein,,,
1163,1,Hugo de Capus,,,
1164,1,Hyams,,,
1165,1,I. Lal Chowdar,,,
1166,1,Ian,,,
1167,1,Ikey,,,
1168,1,Ionides,,,
1169,1,Irene,Irene Adler,[1.632455532033676],
1170,1,Irene Norton,,,
1171,1,Jack McMurdo--see,,,
1172,1,Iris,,,
1173,1,Isa,,,
1174,1,Isadora Persano,,,
1175,1,Ivy Lane,,,
1176,1,J. C. Elman,,,
1177,1,J. Davenport,,,
1178,1,J. G. Wood,,,
1179,1,J. Neil Gibson,,,
1180,1,"J. W. Windle D. M. A. O. F.

""Windle",,,
1181,1,JOHN FERRIER,,,
1182,1,Jack Douglas,,,
1183,1,Jack Knox,,,
1184,1,George Meredith,,,
1185,1,George Lewis,,,
1186,1,George Ffolliott,,,
1187,1,Dantzig,,,
1188,1,Cocks,,,
1189,1,Colin,,,
1190,1,Colonna,,,
1191,1,Cook,Cook,[2.0],
1192,1,Calhoun,James Calhoun,[1.7071067811865475],
1193,1,Cornelius,,,
1194,1,Crabbe,,,
1195,1,Culverton Smith,,,
1196,1,Cusack,,,
1197,1,Cuvier,Frédéric Cuvier,[1.597614304667197],
1198,1,Dane,,,
1199,1,Danton,,,
1200,1,Darwin,,,
1201,1,Clayton,,,
1202,1,De Quincey,Thomas De Quincey,[1.75],
1203,1,Deep Dene House,,,
1204,1,Denis Falder,,,
1205,1,Denn,,,
1206,1,Desmonds,,,
1207,1,Devon,,,
1208,1,Dingle,,,
1209,1,Diogenes Club,,,
1210,1,Dolsky,,,
1211,1,Don Juan,,,
1212,1,Donnithorpe,,,
1213,1,Cadogan,,,
1214,1,Clotilde Lothman von Saxe-Meningen,Clotilde Lothman von Saxe-Meningen,[2.0],
1215,1,Clay,John Clay,[1.6123724356957947],
1216,1,Brooks,,,
1217,1,Charles Appledore,,,
1218,1,Carnaway,,,
1219,1,Carrie Evans,,,
1220,1,Carson,,,
1221,1,Carstairs,,,
1222,1,Carina,,,
1223,1,Cathcart Soames,,,
1224,1,Caunter,,,
1225,1,Cawnpore,,,
1226,1,Cecil,,,
1227,1,Carey,,,
1228,1,Cecil James Barker,,,
1229,1,Capus,,,
1230,1,Charles Chandos,,,
1231,1,Clark Russell,William Clark Russell,[1.7745966692414834],
1232,1,Charles Gorot,,,
1233,1,Charles Hardy,,,
1234,1,Charles Milverton,,,
1235,1,Charlie Peace,,,
1236,1,Charlie Williams,,,
1237,1,Charlington Hall,,,
1238,1,Chesterton,,,
1239,1,Chiltern Grange,,,
1240,1,Chiswick,,,
1241,1,Chopin,,,
1242,1,Clapham Junction,,,
1243,1,Clarendon,,,
1244,1,Dovercourt,,,
1245,1,Dr. Ainstree,Dr. Ainstree,[2.0],
1246,1,Dr. Mortimer,,,
1247,1,Fred Porlock,,,
1248,1,Fernworthy,,,
1249,1,Bruce Pinkerton,,,
1250,1,Fordingham,Fordham,[1.513747150773105],
1251,1,Foreman Blaker,,,
1252,1,Forrester,Forrester,[2.0],
1253,1,Francis H. Moulton,,,
1254,1,Francis Prosper,,,
1255,1,Francois Le Villard,,,
1256,1,Browners,,,
1257,1,Franz Josef,,,
1258,1,Fratton,,,
1259,1,Fred,,,
1260,1,Friend MacDonald,,,
1261,1,Draper,,,
1262,1,Friend McMurdo,,,
1263,1,Fritz,,,
1264,1,Fritz von Waldbaum,,,
1265,1,G. Dunbar,,,
1266,1,G. Lestrade,Lestrade,[1.8366600265340756],
1267,1,Gaboriau,Émile Gaboriau,[1.7337993857053429],
1268,1,Gabriel,,,
1269,1,Brother Stangerson,,,
1270,1,Garrideb,,,
1271,1,Garridebs,,,
1272,1,Gelder,,,
1273,1,Gennaro Lucca,,,
1274,1,Bruce-Partington,,,
1275,1,Fairbank,,,
1276,1,Eva Brackwell,,,
1277,1,Eugenia Ronder,,,
1278,1,C.B.,,,
1279,1,Duchess of Devonshire,Duchess of Devonshire,[2.0],
1280,1,Duke of Lomond,,,
1281,1,Duncan Ross,Duncan Ross,[2.0],
1282,1,Dundas,Dundas,[2.0],
1283,1,E. J. Drebber,,,
1284,1,Earl of Carston,,,
1285,1,Earl of Maynooth,,,
1286,1,Earl of Rufton,,,
1287,1,Edgar Allen Poe,,,
1288,1,Edison,,,
1289,1,Edward,,,
1290,1,Edward Holly,,,
1291,1,Egan,,,
1292,1,Eley,,,
1293,1,Elias Whitney,,,
1294,1,Elise,,,
1295,1,Eliza,,,
1296,1,Elizabeth,,,
1297,1,Bushman,,,
1298,1,Emilia Lucca,,,
1299,1,Escott,,,
1300,1,Buda-Pesth,,,
1301,1,Ettie Edwards,,,
1302,1,Ettie Shafter,,,
1303,1,John Hebron,,,
1304,1,John Hopley Neligan,,,
1305,1,Mr. Ryder,,,
1306,1,Mr. Bardle,Bardle,[1.7453559924999298],
1307,1,Morecroft,,,
1308,1,Barton,Barton,[2.0],
1309,1,Morland,,,
1310,1,Mormon Prophet,,,
1311,1,Morphy,,,
1312,1,Bartholomew Wilson,,,
1313,1,Mortimer Maberley,,,
1314,1,Bart,Barton,[1.7745966692414834],
1315,1,Barraud,,,
1316,1,Mr. Aloysius Garcia,,,
1317,1,Mr. Armitage,,,
1318,1,Mr. Arthur Harry Pinner,,,
1319,1,Mr. Bender,,,
1320,1,Carlyle,,,
1321,1,Baron Maupertuis,,,
1322,1,Mr. Boarder,,,
1323,1,Mr. Breckinridge,,,
1324,1,Mr. Brown,,,
1325,1,Mr. Browner,,,
1326,1,Mr. Busybody Holmes,,,
1327,1,Mr. Chairman,,,
1328,1,Mr. Chairman--yourself,,,
1329,1,Mr. Charles McCarthy,,,
1330,1,Mr. Cocksure,,,
1331,1,Mr. Crooked McMurdo,,,
1332,1,Baron Dowson,,,
1333,1,Moore Agar,Moore Agar,[2.0],
1334,1,Montpensier,,,
1335,1,Baron Beverley,,,
1336,1,Baxter,,,
1337,1,Miss Grace Dunbar,,,
1338,1,Miss Helen Stoner,,,
1339,1,Miss Honoria Westphail,,,
1340,1,Miss Irene,,,
1341,1,Miss Irene Adler,Irene Adler,[1.816496580927726],
1342,1,Miss Mary Fraser,,,
1343,1,Miss Mary Holder,,,
1344,1,Miss Maud Bellamy,,,
1345,1,Miss Minnie Warrender,,,
1346,1,Miss Nancy Devoy,,,
1347,1,Miss Rachel,,,
1348,1,Miss Roylott,,,
1349,1,Bates,,,
1350,1,Montgomery,Montgomery,[2.0],
1351,1,Miss Susan Cushing,,,
1352,1,Miss Violet Hunter,,,
1353,1,Miss Violet Westbury,,,
1354,1,Miss Winter,,,
1355,1,Miss de Merville,,,
1356,1,Mister Sherlock Holmes,Sherlock Holmes,[1.8164965809277258],
1357,1,Mister Von Bork,,,
1358,1,Moffat,,,
1359,1,Monaghan,,,
1360,1,Monsieur Bertillon,,,
1361,1,Monsieur Dubugue,,,
1362,1,Monsieur Oscar Meunier,,,
1363,1,Mr. Cyril Overton,,,
1364,1,Mr. Eccles,,,
1365,1,John McFarlane,,,
1366,1,Mr. Mordecai Smith,,,
1367,1,Mr. John Straker,,,
1368,1,Mr. Johnson,,,
1369,1,Bardle,Bardle,[2.0],
1370,1,Mr. Joyce Cummings,,,
1371,1,Mr. Lanner,Lanner,[1.7453559924999298],
1372,1,Mr. Leverton,,,
1373,1,Balzac,,,
1374,1,Mr. MacDonald,,,
1375,1,Mr. Marlow Bates,,,
1376,1,Baldy Simpson,,,
1377,1,Baker,,,
1378,1,Mr. Milverton,,,
1379,1,Mr. Morris,,,
1380,1,Mr. John Bull,,,
1381,1,Mr. Morse Hudson,Mrs. Hudson,[1.6348469228349534],
1382,1,Mr. Moulton,,,
1383,1,Mr. Munro,,,
1384,1,Mr. Mycroft Holmes,Mycroft Holmes,[1.8744746321952062],
1385,1,Mr. Nathan,,,
1386,1,Mr. Neville St.--Oh,,,
1387,1,Mr. Oberstein,,,
1388,1,Mr. Patrick Cairns,,,
1389,1,Mr. Peters,,,
1390,1,Mr. Pickwick,,,
1391,1,Mr. Price,,,
1392,1,Augustus Moran,,,
1393,1,Mr. John Hare,John Hare,[1.8164965809277263],
1394,1,Mr. Jeremy Dixon,,,
1395,1,Mr. Edmunds,,,
1396,1,Mr. Hilton Soames,,,
1397,1,Mr. Enoch Drebber,,,
1398,1,Mr. Enoch J. Drebber,,,
1399,1,Mr. Evans,,,
1400,1,Mr. Fairdale Hobbs,,,
1401,1,Mr. Farquhar,,,
1402,1,Mr. Fordham,Fordham,[1.7745966692414834],
1403,1,Mr. Harrison,,,
1404,1,Mr. Harry Pinner,,,
1405,1,Mr. Hayes,,,
1406,1,Mr. Heath Newton,,,
1407,1,Mr. Henry Baskerville,,,
1408,1,Mr. Henry Wood,,,
1409,1,Mr. Holmes [,,,
1410,1,Mr. Jeremiah Hayling,,,
1411,1,Mr. Homes,,,
1412,1,Mr. Hope,,,
1413,1,Mr. Hopkins,,,
1414,1,Mr. Hugo Oberstein,,,
1415,1,Mr. Huxtable,,,
1416,1,Mr. Hyam,,,
1417,1,Mr. Hynes Hynes,,,
1418,1,Mr. Inspector,,,
1419,1,Mr. Isa Whitney,,,
1420,1,Mr. Jack Croker,,,
1421,1,Mr. James Baker Williams,,,
1422,1,Mr. James Phillimore,,,
1423,1,Miss Fraser,,,
1424,1,Miss Edith Woodley,,,
1425,1,Beatrice Falder,,,
1426,1,Lauriston Gardens,,,
1427,1,Black Jack of Ballarat,,,
1428,1,Lady Clara St. Simon,,,
1429,1,Black Gorgiano,,,
1430,1,Lady Maynooth,,,
1431,1,Lafter Hall,,,
1432,1,Langdale,,,
1433,1,Langham,,,
1434,1,Lanner,Lanner,[2.0],
1435,1,Lascar,,,
1436,1,Lassus,,,
1437,1,Lauder,,,
1438,1,Laura Lyons,,,
1439,1,Le Brun,,,
1440,1,L. L.--but,,,
1441,1,Lefevre,,,
1442,1,Billy James,,,
1443,1,Leverstoke,,,
1444,1,Lhassa,,,
1445,1,Llama,,,
1446,1,Lomax,,,
1447,1,Long,,,
1448,1,Lookin,,,
1449,1,Louis La Rothiere,,,
1450,1,Bill,,,
1451,1,Lucretia Venucci,,,
1452,1,Biddle,,,
1453,1,Lady Beatrice Falder,,,
1454,1,Klein,,,
1455,1,Miss Brenda Tregennis,,,
1456,1,Jose,Joseph Smith,[1.5222329678670934],
1457,1,John McGinty,,,
1458,1,John Morland,,,
1459,1,John Robinson,,,
1460,1,John Sholto,,,
1461,1,Blount,,,
1462,1,John Underwood,,,
1463,1,John Vincent Harden,,,
1464,1,John Warner,,,
1465,1,Johnnie,,,
1466,1,Johnny Hones,,,
1467,1,Johnston,,,
1468,1,Blondin,,,
1469,1,Black Tor,,,
1470,1,Kitty Winter,,,
1471,1,Joshua Stone,,,
1472,1,Josiah Barnes,,,
1473,1,Josiah H. Dunn,,,
1474,1,Juan Murillo,,,
1475,1,Jules,,,
1476,1,Junker,,,
1477,1,Kaiser,,,
1478,1,Kate Whitney,,,
1479,1,Kemball,,,
1480,1,Keswick,,,
1481,1,Khalifa,,,
1482,1,King,,,
1483,1,Lucy adieu,,,
1484,1,Lynch,,,
1485,1,M. Henri Fournaye,,,
1486,1,Merivale,Merivale,[2.0],
1487,1,Marylebone Lane,,,
1488,1,Masser Perkins,,,
1489,1,Master Holmes,,,
1490,1,Mathews,,,
1491,1,Maud Bellamy,,,
1492,1,Maudie,,,
1493,1,Maudsley,,,
1494,1,ABE SLANEY,,,
1495,1,Bentley,,,
1496,1,Ben,,,
1497,1,McMurdo the Scowrer,,,
1498,1,McQuire,,,
1499,1,Merrow,,,
1500,1,Maberley,,,
1501,1,Merryweather,Mr. Merryweather,[1.8563488385776754],
1502,1,Messrs. Lestrade,Lestrade,[1.6831300510639733],
1503,1,Meyers,,,
1504,1,Michael,,,
1505,1,Middleton,,,
1506,1,Miles McLaren,,,
1507,1,Millar,,,
1508,1,Milman,,,
1509,1,Mincing Lane,,,
1510,1,Miss Adler,,,
1511,1,Miss Alice Rucastle,,,
1512,1,Miss Bellamy,,,
1513,1,Mary--Mary Fraser,,,
1514,1,Mary herself--and,,,
1515,1,Mary Morstan,Mary,[1.5222329678670934],
1516,1,Mary Maberley,,,
1517,1,Mac,,,
1518,1,Beryl Garcia,,,
1519,1,Mackleton,,,
1520,1,Madam Derbyshire,,,
1521,1,Madame Charpentier,,,
1522,1,Madame Lesurier,,,
1523,1,Mademoiselle,,,
1524,1,Mahomet,Mahomet Singh,[1.7071067811865475],
1525,1,Mahratta,,,
1526,1,Major Freebody,Freebody,[1.7337993857053429],
1527,1,Malthus,,,
1528,1,Manders,,,
1529,1,Mansel,,,
1530,1,Manson,,,
1531,1,Marcini,,,
1532,1,Maria Pinto,,,
1533,1,Marie Devine,,,
1534,1,Mark,,,
1535,1,Marley Creek,,,
1536,1,Bertillon,,,
1537,1,Marvin of the Chicago Central,,,
1538,1,Marvin--he,,,
1539,1,Bert Stevens,,,
1540,1,Mary Fraser,Mary,[1.547722557505166],
1541,1,Mary Jane,Mary / Mary Jane,"[1.6123724356957947, 2.0]",
1542,1,--you,,,
