,count,dirty_character,strongly_suggested,similarity,clean_character
173,9,Williamson,,,
174,9,Gloria Scott,,,
175,9,Beppo,,,
176,9,Gregory,Gregory,[2.0],
177,9,Toller,,,
178,9,Mrs. Cecil Forrester,Forrester,[1.6488856845230502],
179,9,Porlock,,,
180,9,Mrs. St. Clair,,,
181,9,Mr. Blessington,,,
182,9,Presbury,,,
183,9,Hudson,Mrs. Hudson,[1.7071067811865475],
184,9,Barnicot,,,
185,9,Scott Eccles,,,
186,9,Theresa,,,
187,9,Murdoch,,,
188,8,Hilton Cubitt,,,
189,8,Peters,,,
190,8,Eustace,,,
191,8,Mrs. Smith,,,
192,8,Mr. Mason,,,
193,8,Mr. McCarthy,,,
194,8,Mr. Woodley,,,
195,8,Mr. Neville St. Clair,,,
196,8,Mr. Acton,Mr. Acton,[2.0],
197,8,Mahomet Singh,Mahomet Singh,[2.0],
198,8,Prendergast,Prendergast,[2.0],
199,8,Cunningham,,,
200,8,Mordecai Smith,,,
201,8,Pompey,,,
202,8,Mr. Baynes,Baynes,[1.7453559924999298],
203,8,Baron Gruner,,,
204,8,Mr. Thaddeus Sholto,,,
205,8,Mr. Thaddeus,,,
206,8,Neligan,,,
207,8,Grimesby Roylott,,,
208,8,Shlessinger,,,
209,8,Vermissa,,,
210,8,Mrs. Maberley,,,
211,8,Mr. Culverton Smith,,,
212,8,Mr. Drebber,,,
213,8,Mr. Hilton Cubitt,,,
214,8,Gorgiano,,,
215,7,Hunter,,,
216,7,Mr. Trevor,,,
217,7,Steve,,,
218,7,Hobson,,,
219,7,Mr. Garrideb,,,
220,7,Gilchrist,,,
221,7,Alec Cunningham,,,
222,7,Mrs. Mason,,,
223,7,Ronald Adair,Ronald Adair,[2.0],
224,7,Neville St. Clair,,,
225,7,Norwood,,,
226,7,Hayes,,,
227,7,Adair,Hilda Adair / Ronald Adair,"[1.632455532033676, 1.6030226891555273]",
228,7,Fitzroy Simpson,,,
229,7,Forbes,Forbes,[2.0],
230,7,Mr. James Wilder,,,
231,7,Evans,,,
232,7,Mr. Nathan Garrideb,,,
233,7,Coram,,,
234,7,Colonel Lysander Stark,Colonel Lysander Stark,[2.0],
235,7,George Burnwell,,,
236,7,Mr. Scott Eccles,,,
237,7,Prescott,,,
238,7,Mr. Wilder,,,
239,7,Martha,,,
240,7,Willoughby Smith,,,
241,7,Johnson,,,
242,7,Mrs. Stapleton,,,
243,7,Mr. Jabez Wilson,Jabez Wilson,[1.8563488385776754],
244,7,Mr. McFarlane,,,
245,7,Leslie Armstrong,,,
246,7,Freeman,,,
247,7,Jim,,,
248,7,Baden,,,
249,6,Bartholomew Sholto,Bartholomew Sholto,[2.0],
250,6,Mrs. Porter,,,
251,6,Mrs. Oakshott,,,
252,6,Norbury,,,
253,6,Lawler,,,
254,6,Walters,,,
255,6,Ian Murdoch,,,
256,6,Breckinridge,,,
257,6,Mr. McMurdo,,,
258,6,Hugo Baskerville,,,
259,6,Mrs. Straker,,,
260,6,Mr. Henry Baker,,,
261,6,Hosmer,,,
262,6,Black Peter,,,
263,6,Mrs. Forrester,Forrester,[1.7844645405527362],
264,6,Mr. Stapleton,,,
265,6,Mrs. Bernstone,,,
266,6,Miss Mary Sutherland,Mary Sutherland,[1.8583950752789522],
267,6,Miss Morrison,,,
268,6,Lady Hilda,,,
269,6,William Kirwan,,,
270,6,Mr. Alec,,,
271,6,Hall Pycroft,,,
272,6,Mrs. Hilton Cubitt,,,
273,6,Mr. Athelney Jones,Athelney Jones,[1.8744746321952062],
274,6,Sam,,,
275,6,Mr. Smith,,,
276,6,Wood,,,
277,6,Murphy,,,
278,6,John Douglas,,,
279,6,Perkins,,,
280,6,Mrs. Marker,,,
281,6,Mr. Duncan Ross,Duncan Ross,[1.8451542547285165],
282,6,Thaddeus,,,
283,6,Cantlemere,,,
284,6,Mr. Neil Gibson,,,
285,6,Mr. White Mason,,,
286,6,Mr. Barrymore,,,
287,6,Acton,Mr. Acton,[1.7071067811865475],
288,6,Dawson,,,
289,6,Frances,,,
290,6,Jacky,,,
291,6,Mrs. Toller,,,
292,6,Mr. Staunton,,,
293,6,Roy,,,
294,6,Mr. Mortimer Tregennis,,,
295,5,Brenda,,,
296,5,Esher,,,
297,5,Oldacre,,,
298,5,Mr. Joseph Stangerson,,,
299,5,Mrs. Barrymore,,,
300,5,Abdullah Khan,Abdullah Khan,[2.0],
301,5,Barney,,,
302,5,Mr. Turner,Mrs. Turner,[1.7321629316004565],
303,5,Marie,,,
304,5,Stephens,,,
305,5,Mr. Jones,,,
306,5,Harold,,,
307,5,Mr. Horace Harker,Horace,[1.5590169943749475],
308,5,Overton,,,
309,5,Halliday,,,
310,5,Halloa,,,
311,5,Alec,,,
312,5,Bradshaw,,,
313,5,Heidegger,,,
314,5,Frances Carfax,,,
315,5,Mr. Warren,,,
316,5,Mr. Roundhay,,,
317,5,Mr. Sandeford,,,
318,5,Percy Phelps,,,
319,5,Killer Evans,,,
320,5,Mr. Hall Pycroft,,,
321,5,John Openshaw,John Openshaw,[2.0],
322,5,Shinwell Johnson,,,
323,5,Winchester,,,
324,5,Sam Merton,,,
325,5,Sebastian Moran,,,
326,5,Mr. Gilchrist,,,
327,5,Mr. Oldacre,,,
328,5,Charpentier,,,
329,5,Baron,,,
330,5,Morton,Morton,[2.0],
331,5,Josiah Amberley,,,
332,5,Croker,,,
333,5,Mr. Fowler,Mr. Fowler,[2.0],
334,5,Lady St. Simon,,,
335,5,Rance,,,
336,5,Dost Akbar,Dost Akbar,[2.0],
337,5,Chester Wilcox,,,
338,5,Mr. Hatherley,,,
339,5,K. K. K.,,,
340,5,Andrews,,,
341,5,Joseph Stangerson,,,
342,5,Mr. Pycroft,,,
343,5,Vincent Spaulding,,,
344,5,Effie,,,
345,5,Miss Sutherland,Mr. Sutherland / Ned Sutherland,"[1.5104800858918703, 1.5104800858918703]",
346,5,Eduardo Lucas,,,
347,5,Mr. Pinner,,,
348,5,Mr. McPherson,,,
349,5,Murillo,,,
350,5,James Mortimer,,,
351,4,Annie,,,
352,4,Grant Munro,,,
353,4,Bob,,,
354,4,Mr. Cornelius,,,
355,4,Percy,,,
356,4,Grimpen,,,
357,4,Mrs. King,,,
358,4,James Walter,,,
359,4,Mr. James M. Dodd,,,
360,4,John Clay,John Clay,[2.0],
361,4,Randall,,,
362,4,Jules Vibart,,,
363,4,Mr. Frankland,,,
364,4,Mrs. Ronder,,,
365,4,Ralph Smith,,,
366,4,Shoscombe Prince,,,
367,4,Hilda,Hilda Adair,[1.632455532033676],
368,4,Barney Stockdale,,,
369,4,Lopez,,,
370,4,Mr. Dodd,,,
371,4,Mr. Beddoes,,,
372,4,Hope,,,
