,character1,character2,similarity,normalized
125,Mr. Henry Baker,Mr. Baker,2.6559289460184545,No
126,Mr. Henry Baker,Mr. Henry Baskerville,2.62118431035307,No
127,Henry Baker,Henry,2.512455532033676,No
128,Henry Baker,Henry Baskerville,2.5040124735378853,No
129,Mr. Baker,Mr. Barker,2.630513466939861,No
130,Breckinridge,Mr. Breckinridge,2.7674599496887864,No
131,Bill,Billy,2.7826920704511053,No
132,Mrs. Oakshott,Oakshott,2.6248737269370848,No
133,Christ,Christie,2.7880113975856595,No
134,Mycroft,Mycroft Holmes,2.57167391279445,No
135,Mycroft,Pycroft,2.555555555555556,No
136,Cadogen West,Cadogan West,2.563636363636364,No
137,Cadogan West,Arthur Cadogan West,2.652106330340942,No
138,Cadogan West,Cadogan,2.6476398549669056,No
139,Mycroft Holmes,Mr. Mycroft Holmes,2.7960432596461864,No
140,Sherlock,Mr. Sherlock,2.6765119140053444,No
141,Valentine Walter,Valentine,2.636963410006888,No
142,Mr. Sidney Johnson,Sidney Johnson,2.7960432596461864,No
143,Mr. Sidney Johnson,Mr. Johnson,2.6708865574748213,No
144,Hugo Oberstein,Mr. Hugo Oberstein,2.7960432596461864,No
145,Hugo Oberstein,Oberstein,2.656259412347608,No
146,Mr. Hugo Oberstein,Mr. Oberstein,2.7715405994364137,No
147,Oberstein,Mr. Oberstein,2.705385469816615,No
148,Walter,Walters,2.879537595841944,No
149,Beecher,Becher,2.862870929175277,No
150,Miss Cushing,Miss Susan Cushing,2.715629613063908,No
151,Miss Cushing,Miss S. Cushing,2.8435481175707755,No
152,Miss Cushing,Miss Sarah Cushing,2.7338114312457265,No
153,Miss Susan Cushing,Miss S. Cushing,2.5309257007555943,No
154,Brown,Browners,2.6702146603041688,No
155,Brown,Browner,2.74982991426106,No
156,Miss S. Cushing,Miss Sarah Cushing,2.547592367422261,No
157,Mr. Browner,Browner,2.64126333590815,No
158,Mr. Browner,Mrs. Browner,2.6735708757755785,No
159,Jim,Jimmy,2.540440114519881,No
160,Jim Browner,Browner,2.64126333590815,No
161,Miss Sarah Cushing,Miss Sarah,2.6334892280501756,No
162,Miss Sarah Cushing,Sarah Cushing,2.7421288347305315,No
163,Browners,Browner,2.897248671201123,No
164,Alec Fairbairn,Fairbairn,2.656259412347608,No
165,Violet Hunter,Miss Violet Hunter,2.7421288347305315,No
166,Violet Hunter,Violet,2.528830557701236,No
167,Miss Hunter,Miss Violet Hunter,2.6846120476708997,No
168,Miss Stoper,Miss Stoner,2.52,No
169,Mr. Rucastle,Mrs. Rucastle,2.7022064615966706,No
170,Mr. Rucastle,Rucastle,2.6765119140053444,No
171,Mrs. Rucastle,Rucastle,2.6248737269370848,No
172,Edward,Edward Holly,2.565108953372333,No
173,Edward,Edwards,2.879537595841944,No
174,Rucastles,Rucastle,2.9104143466934853,No
175,Miss Alice Rucastle,Miss Rucastle,2.7498299142610594,No
176,Miss Alice Rucastle,Miss Alice,2.6071067811865474,No
177,Miss Rucastle,Rucastle,2.6248737269370848,No
178,Presbury,Miss Presbury,2.6248737269370848,No
179,Mr. Bennett,Mr. Trevor Bennett,2.6708865574748213,No
180,Mr. Bennett,Bennett,2.64126333590815,No
181,Mr. Trevor Bennett,Mr. Trevor,2.6334892280501756,No
182,Jack,Jacky,2.7826920704511053,No
183,Jack,Jackson,2.540440114519881,No
184,H. Lowenstein,Lowenstein,2.7826920704511053,No
185,Mr. Hilton Cubitt,Mr. Cubitt,2.6479166666666667,No
186,Mr. Hilton Cubitt,Hilton Cubitt,2.7826920704511053,No
187,Mr. Hilton Cubitt,Mrs. Hilton Cubitt,2.79296447623919,No
188,Ridling Thorpe,Ridling Thorpe Manor,2.7640122971316687,No
189,Hilton Cubitt,Mrs. Hilton Cubitt,2.7421288347305315,No
190,Mr. Abe Slaney,Abe Slaney,2.729486191773741,No
191,Mr. Abe Slaney,Mr. Slaney,2.760255422542972,No
192,Mr. Mortimer Tregennis,Mr. Tregennis,2.6559289460184545,No
193,Mr. Mortimer Tregennis,Mortimer Tregennis,2.836243347350374,No
194,Mr. Tregennis,Tregennis,2.705385469816615,No
195,Mortimer Tregennis,Mortimer,2.5240418890962184,No
196,Miss Brenda Tregennis,Brenda Tregennis,2.7826920704511053,No
197,Leon Sterndale,Sterndale,2.656259412347608,No
198,Mortimer,Mortimer Maberley,2.5489378277661476,No
199,Mortimer,Dr. Mortimer,2.6765119140053444,No
200,Mr. Culverton Smith,Culverton Smith,2.807843029614123,No
201,Mr. Homes,Mr. Holmes [,2.5234752345173637,No
202,Mr. Smith,Mrs. Smith,2.595791244717639,No
203,Victor,Victor Savage,2.528830557701236,No
204,Victor,Victor Lynch,2.565108953372333,No
205,Victor,Victor Trevor,2.528830557701236,No
206,Victor,Victoria,2.7880113975856595,No
207,Ronald Adair,Ronald,2.565108953372333,No
