docTokenBegin,text,ner,nerConfidences
2986,Bennett,PERSON,{'PERSON': 0.99205231897434}
2977,He,PERSON,
2992,he,PERSON,
2999,him,PERSON,
3009,Mr. Holmes,PERSON,
3055,Edith,PERSON,{'PERSON': 0.67640666505264}
3091,Watson,PERSON,{'PERSON': 0.99641468921699}
3129,He,PERSON,
3144,His,PERSON,
3190,Watson,PERSON,{'PERSON': 0.81958726755419}
3209,Sherlock Holmes,PERSON,{'PERSON': 0.99959056836003}
3240,Mr. Bennett,PERSON,
3238,she,PERSON,
3251,his,PERSON,
3258,she,PERSON,
3264,Edith,PERSON,{'PERSON': 0.9585132679131}
3286,Jack,PERSON,{'PERSON': 0.99660205258227}
3305,Mr. Holmes,PERSON,
3336,Watson,PERSON,{'PERSON': 0.99613693640829}
3339,Holmes,PERSON,{'PERSON': 0.99312722603413}
3350,Miss Presbury,PERSON,{'PERSON': 0.65702268993567}
3384,English,MISC,{'MISC': 0.9999986813818}
3390,Holmes,PERSON,{'PERSON': 0.80462470602338}
3396,Mr. Bennett,PERSON,
3392,she,PERSON,
3403,Mr. Bennett,PERSON,
3407,his,PERSON,
3415,him,PERSON,
3421,he,PERSON,
3426,he,PERSON,
3435,Mr. Holmes,PERSON,
3453,Miss Presbury,PERSON,{'PERSON': 0.50294581957847}
3481,last night,TIME,{'TIME': 0.61798191822012}
3484,Mr. Holmes,PERSON,
3487,He,PERSON,
3503,he,PERSON,
3509,he,PERSON,
3512,He,PERSON,
3536,His,PERSON,
3547,he,PERSON,
3572,Roy,PERSON,{'PERSON': 0.96607483929756}
3574,he,PERSON,
3597,Jack,PERSON,{'PERSON': 0.50828482714007}
3600,Mr. Bennett,PERSON,
3678,Mr. Holmes,PERSON,
3733,Mr. Holmes,PERSON,
3774,spring,DATE,{'DATE': 0.55828726757953}
3811,night,TIME,{'TIME': 0.59976470026172}
3794,he,PERSON,
3833,Holmes,PERSON,{'PERSON': 0.97246694975378}
3873,Mr. Holmes,PERSON,
3896,he,PERSON,
3905,September,DATE,{'DATE': 0.94481889292874}
3910,Holmes,PERSON,{'PERSON': 0.98050941048356}
3944,Mr. Holmes,PERSON,
3949,Bennett,PERSON,{'PERSON': 0.99718272286908}
4038,Watson,PERSON,{'PERSON': 0.97127488740982}
4063,her,PERSON,
4067,her,PERSON,
4084,him,PERSON,
4087,he,PERSON,
4098,He,PERSON,
4104,his,PERSON,
4123,him,PERSON,
4133,Mr. Bennett,PERSON,
4154,Holmes,PERSON,{'PERSON': 0.98665589165181}
4181,Mr. Bennett,PERSON,
