docTokenBegin,text,ner,nerConfidences
2867,he,PERSON,
2903,Doncaster,ORGANIZATION,{'ORGANIZATION': 0.57292639804729}
2962,his,PERSON,
3002,Emperor,MISC,{'MISC': 0.41547592856939}
3030,Holmes,PERSON,{'PERSON': 0.97943936079613}
3045,his,PERSON,
3049,his,PERSON,
3055,he,PERSON,
3066,Lestrade,PERSON,{'PERSON': 0.47606518922031}
3068,Holmes,PERSON,{'PERSON': 0.99528869551708}
3070,his,PERSON,
3085,he,PERSON,
3138,he,PERSON,
3158,his,PERSON,
3164,He,PERSON,
3175,He,PERSON,
3179,he,PERSON,
3218,Lestrade,PERSON,{'PERSON': 0.57078196627115}
3221,him,PERSON,
3232,he,PERSON,
3235,he,PERSON,
3259,he,PERSON,
3264,he,PERSON,
3272,he,PERSON,
3286,he,PERSON,
3295,him,PERSON,
3306,Lestrade,PERSON,{'PERSON': 0.58683749977065}
3308,Holmes,PERSON,{'PERSON': 0.98783674192608}
3319,He,PERSON,
3323,he,PERSON,
3328,he,PERSON,
3335,his,PERSON,
3341,Jove,PERSON,{'PERSON': 0.80962348738759}
3363,Barnicot,PERSON,{'PERSON': 0.99788451592014}
3371,his,PERSON,
3377,Mr. Holmes,PERSON,
3420,Lestrade,PERSON,{'PERSON': 0.87643552617844}
3478,Pitt Street,LOCATION,{'LOCATION': 0.98527538801303}
3480,last night,TIME,{'TIME': 0.98810948027186}
3497,Mr. Horace Harker,PERSON,
3457,he,PERSON,
3461,his,PERSON,
3474,he,PERSON,
3489,him,PERSON,
3492,him,PERSON,
3585,Lestrade,PERSON,{'PERSON': 0.58507235110846}
3594,Pitt Street,ORGANIZATION,{'ORGANIZATION': 0.37242242645882}
3599,Mr. Horace Harker,PERSON,
3627,Napoleonic,MISC,{'MISC': 0.71733417492426}
3633,last night,TIME,{'TIME': 0.93023275866283}
3604,him,PERSON,
3631,his,PERSON,
3641,his,PERSON,
3645,Lestrade,PERSON,{'PERSON': 0.7107215829673}
3657,Holmes,PERSON,{'PERSON': 0.98665589165181}
3680,Mr. Horace Harker,PERSON,
3688,Central Press Syndicate,ORGANIZATION,{'ORGANIZATION': 0.99586155875409}
3694,Watson,PERSON,{'PERSON': 0.97397693416506}
3721,Lestrade,PERSON,{'PERSON': 0.56197737354996}
3733,Baker Street,LOCATION,{'LOCATION': 0.99802448722518}
3737,o'clock this evening,TIME,{'TIME': 0.97724346363056}
3806,Sherlock Holmes,PERSON,{'PERSON': 0.99978448685745}
3824,Harding Brothers,ORGANIZATION,{'ORGANIZATION': 0.68123971776645}
3818,he,PERSON,
3840,Mr. Harding,PERSON,
3851,he,PERSON,
3863,Holmes,PERSON,{'PERSON': 0.9895040177848}
3867,his,PERSON,
3889,Watson,PERSON,{'PERSON': 0.97144961655882}
3892,he,PERSON,
3907,Mr. Harding,PERSON,
3957,Mr. Morse Hudson,PERSON,
3963,Kennington Road,LOCATION,{'LOCATION': 0.98752832387227}
3969,he,PERSON,
3994,He,PERSON,
4024,he,PERSON,
4061,Barnicot,PERSON,{'PERSON': 0.99218802040249}
4062,his,PERSON,
4071,Nihilist,MISC,{'MISC': 0.85124966862431}
4085,Anarchist,MISC,{'MISC': 0.56587486648643}
