docTokenBegin,text,ner,nerConfidences
2996,Holmes,PERSON,{'PERSON': 0.98045819828084}
2990,He,PERSON,
3019,Elman,PERSON,{'PERSON': 0.70219125815685}
3035,Holmes,PERSON,{'PERSON': 0.98532281459304}
3042,Essex,LOCATION,{'LOCATION': 0.95119122132692}
3050,Frinton,LOCATION,{'LOCATION': 0.66723771632646}
3079,Crockford,PERSON,{'PERSON': 0.90471111156714}
3089,J. C. Elman,PERSON,{'PERSON': 0.96054939314812}
3086,him,PERSON,
3109,Watson,PERSON,{'PERSON': 0.91747918084568}
3119,Liverpool Street,LOCATION,{'LOCATION': 0.93333116531041}
3133,Watson,PERSON,{'PERSON': 0.97157493553282}
3131,him,PERSON,
3135,He,PERSON,
3171,Mr. Holmes,PERSON,
3175,he,PERSON,
3200,He,PERSON,
3208,he,PERSON,
3233,Holmes,PERSON,{'PERSON': 0.98727945771223}
3235,his,PERSON,
3255,Mr. Amberley,PERSON,
3315,he,PERSON,
3348,Holmes,PERSON,{'PERSON': 0.9945775830883}
3361,Holmes,PERSON,{'PERSON': 0.98713951472391}
3381,he,PERSON,
3397,he,PERSON,
3404,he,PERSON,
3408,he,PERSON,
3542,his,PERSON,
3549,him,PERSON,
3557,he,PERSON,
3604,Mr. Josiah Amberley,PERSON,
3608,his,PERSON,
3611,his,PERSON,
3695,Elman,PERSON,{'PERSON': 0.94636227102293}
3752,Mr. Amberley,PERSON,
3773,England,LOCATION,{'LOCATION': 0.99999207841461}
3809,Holmes,PERSON,{'PERSON': 0.98753870957486}
3843,Watson,PERSON,{'PERSON': 0.98527125068188}
3875,Watson,PERSON,{'PERSON': 0.93661601414417}
3879,Josiah Amberley,PERSON,{'PERSON': 0.88804259381187}
3894,his,PERSON,
3898,he,PERSON,
3920,He,PERSON,
3943,his,PERSON,
3960,London,LOCATION,{'LOCATION': 0.99973011940315}
3981,Baker Street,LOCATION,{'LOCATION': 0.54309493816042}
3991,Mr. Holmes,PERSON,
4020,Amberley,LOCATION,{'LOCATION': 0.94758717827756}
4030,he,PERSON,
4039,Holmes,PERSON,{'PERSON': 0.98968664056768}
4059,Lewisham,LOCATION,{'LOCATION': 0.99794739471334}
4056,he,PERSON,
4080,he,PERSON,
4115,Masonic,MISC,{'MISC': 0.78182425723382}
4102,him,PERSON,
4119,his,PERSON,
4127,Mr. Barker,PERSON,
4132,Holmes,PERSON,{'PERSON': 0.9820505047375}
4145,Mr. Josiah Amberley,PERSON,
4135,He,PERSON,
4168,Mr. Amberley,PERSON,
4174,He,PERSON,
4183,his,PERSON,
4187,his,PERSON,
4197,Mr. Holmes,PERSON,
4218,his,PERSON,
4225,He,PERSON,
4231,his,PERSON,
4235,His,PERSON,
4244,he,PERSON,
4263,Josiah Amberley,PERSON,{'PERSON': 0.93795237304738}
4275,his,PERSON,
4279,he,PERSON,
4283,his,PERSON,
4285,he,PERSON,
4287,his,PERSON,
4290,his,PERSON,
4299,Holmes,PERSON,{'PERSON': 0.99175411853534}
4302,his,PERSON,
4309,his,PERSON,
4321,his,PERSON,
4330,Josiah Amberley,PERSON,{'PERSON': 0.94888329442934}
4346,Barker,PERSON,{'PERSON': 0.99905559838178}
4386,Watson,PERSON,{'PERSON': 0.92426164913382}
4412,his,PERSON,
4415,he,PERSON,
4432,he,PERSON,
4465,Holmes,PERSON,{'PERSON': 0.99701541821377}
4459,he,PERSON,
4482,Barker,PERSON,{'PERSON': 0.99176314969213}
4491,Holmes,PERSON,{'PERSON': 0.98631444468928}
4498,Barker,PERSON,{'PERSON': 0.98456480627624}
4500,Watson,PERSON,{'PERSON': 0.9704754437586}
4509,Surrey,LOCATION,{'ORGANIZATION': 0.41821907032812}
4502,He,PERSON,
4530,He,PERSON,
4536,his,PERSON,
4540,he,PERSON,
4547,He,PERSON,
4562,His,PERSON,
4594,he,PERSON,
4599,him,PERSON,
4627,Mr. Holmes,PERSON,
4694,MacKinnon,PERSON,{'PERSON': 0.87946619351251}
4710,Barker,PERSON,{'PERSON': 0.95256095609242}
4712,he,PERSON,
4720,him,PERSON,
4737,Mr. Holmes,PERSON,
4847,Mr. Holmes,PERSON,
4872,he,PERSON,
4875,his,PERSON,
4878,her,PERSON,
5063,Broadmoor,MISC,{'MISC': 0.93581334336042}
5056,his,PERSON,
5086,Italian,MISC,{'MISC': 0.99999975006156}
5092,modern Briton,MISC,{'MISC': 0.99562219203069}
5068,He,PERSON,
5095,He,PERSON,
5102,his,PERSON,
5107,his,PERSON,
5111,she,PERSON,
5137,Amberley,LOCATION,{'LOCATION': 0.84856554560552}
5145,Watson,PERSON,{'PERSON': 0.67003960421457}
5156,he,PERSON,
5163,his,PERSON,
5174,he,PERSON,
5179,He,PERSON,
5183,his,PERSON,
5187,he,PERSON,
5198,Holmes,PERSON,{'PERSON': 0.98844979888934}
5210,he,PERSON,
5252,Holmes,PERSON,{'PERSON': 0.97084804971578}
5259,Watson,PERSON,{'PERSON': 0.99992096044984}
5266,he,PERSON,
5291,his,PERSON,
5305,he,PERSON,
5391,Watson,PERSON,{'PERSON': 0.99951291640757}
5420,Amberley,LOCATION,{'LOCATION': 0.93562248384789}
5429,his,PERSON,
5436,He,PERSON,
5442,he,PERSON,
5456,his,PERSON,
5498,he,PERSON,
5511,Watson,PERSON,{'PERSON': 0.99986108665153}
5513,him,PERSON,
5529,Crockford,PERSON,{'PERSON': 0.80594134853825}
5569,Burglary,MISC,{'MISC': 0.52297066102619}
5725,he,PERSON,
5742,his,PERSON,
5767,he,PERSON,
5794,He,PERSON,
5807,his,PERSON,
5814,Mr. Holmes,PERSON,
5890,Mr. Barker,PERSON,
5913,Ray Ernest,PERSON,{'PERSON': 0.99949746890331}
5907,he,PERSON,
5945,Watson,PERSON,{'PERSON': 0.99993817971141}
5933,He,PERSON,
5962,Watson,PERSON,{'PERSON': 0.99206148378296}
5958,He,PERSON,
5966,he,PERSON,
5982,his,PERSON,
5990,him,PERSON,
6004,him,PERSON,
6057,Mr. Holmes,PERSON,
6141,Holmes,PERSON,{'PERSON': 0.93340966339358}
6148,Amberley,LOCATION,{'LOCATION': 0.74542425428297}
6338,he,PERSON,
6342,He,PERSON,
6344,his,PERSON,
6347,he,PERSON,
6353,He,PERSON,
6410,he,PERSON,
6426,he,PERSON,
6444,he,PERSON,
6490,he,PERSON,
6500,he,PERSON,
6517,Holmes,PERSON,{'PERSON': 0.99282734434997}
6521,He,PERSON,
6531,he,PERSON,
6537,him,PERSON,
6539,He,PERSON,
6565,Sherlock Holmes,PERSON,{'PERSON': 0.99743845313326}
6584,Mr. Holmes,PERSON,
6589,he,PERSON,
6620,North,ORGANIZATION,{'ORGANIZATION': 0.36095889470285}
6621,Surrey,LOCATION,{'ORGANIZATION': 0.52278845106198}
6622,Observer,ORGANIZATION,{'ORGANIZATION': 0.50844021037073}
6636,Haven Horror,MISC,{'MISC': 0.95980303986188}
6684,MacKinnon,PERSON,{'PERSON': 0.97949336856431}
6772,MacKinnon,PERSON,{'PERSON': 0.96625250964741}
6780,Holmes,PERSON,{'PERSON': 0.99563439520415}
6795,Watson,PERSON,{'PERSON': 0.82931420320491}
