docTokenBegin,text,ner,nerConfidences
3499,she,PERSON,
3505,he,PERSON,
3509,her,PERSON,
3527,she,PERSON,
3535,her,PERSON,
3555,Holmes,PERSON,{'PERSON': 0.91920126145557}
3633,she,PERSON,
3636,her,PERSON,
3642,her,PERSON,
3656,her,PERSON,
3667,she,PERSON,
3675,her,PERSON,
3707,Roylott,PERSON,{'PERSON': 0.999400793496}
3697,He,PERSON,
3719,he,PERSON,
3821,she,PERSON,
3823,her,PERSON,
3836,her,PERSON,
3849,her,PERSON,
3879,she,PERSON,
3894,her,PERSON,
4004,she,PERSON,
4008,Holmes,PERSON,{'PERSON': 0.99593399714297}
4010,his,PERSON,
4031,he,PERSON,
4094,Armitage--Percy Armitage,PERSON,{'PERSON': 0.40491968613959}
4103,Mr. Armitage,PERSON,
4107,Crane Water,LOCATION,{'LOCATION': 0.46362293412005}
4091,His,PERSON,
4134,spring,DATE,{'DATE': 0.87926584930173}
4184,she,PERSON,
4196,last night,TIME,{'TIME': 0.97783513689804}
4206,her,PERSON,
4228,her,PERSON,
4284,Crown Inn,MISC,{'MISC': 0.77557768559975}
4294,Leatherhead,LOCATION,{'LOCATION': 0.46710644965306}
4344,Miss Roylott,PERSON,
4369,Holmes,PERSON,{'PERSON': 0.98987188472255}
4419,Holmes,PERSON,{'PERSON': 0.98069087845016}
4428,her,PERSON,
4433,He,PERSON,
4440,she,PERSON,
4446,he,PERSON,
4449,his,PERSON,
4462,Holmes,PERSON,{'PERSON': 0.97479376133912}
4464,his,PERSON,
4467,his,PERSON,
4485,he,PERSON,
4526,Stoke Moran,ORGANIZATION,{'ORGANIZATION': 0.85563134849704}
4556,he,PERSON,
4575,he,PERSON,
4599,she,PERSON,
4610,her,PERSON,
4628,Watson,PERSON,{'PERSON': 0.99618417321018}
4754,this afternoon,TIME,{'TIME': 0.6829742433473}
4758,She,PERSON,
4760,her,PERSON,
4765,her,PERSON,
4783,Watson,PERSON,{'PERSON': 0.99576667651421}
4787,Sherlock Holmes,PERSON,{'PERSON': 0.99975116059475}
4793,his,PERSON,
4849,her,PERSON,
4857,she,PERSON,
4859,her,PERSON,
4959,Miss Helen Stoner,PERSON,
4940,his,PERSON,
5055,Stoke Moran,ORGANIZATION,{'ORGANIZATION': 0.39210435158476}
5120,His,PERSON,
5161,his,PERSON,
5167,he,PERSON,
5169,his,PERSON,
5181,his,PERSON,
5227,his,PERSON,
5238,his,PERSON,
5247,him,PERSON,
5264,Holmes,PERSON,{'PERSON': 0.98187205801812}
5295,Grimesby Roylott,PERSON,{'PERSON': 0.99956047417864}
5300,Moran,PERSON,{'PERSON': 0.51875499476614}
5310,Holmes,PERSON,{'PERSON': 0.98470948697629}
5338,her,PERSON,
5342,she,PERSON,
5364,Holmes,PERSON,{'PERSON': 0.97727912683515}
5369,she,PERSON,
5422,his,PERSON,
5444,Holmes,PERSON,{'PERSON': 0.95854873510335}
5455,Holmes,PERSON,{'PERSON': 0.93401683519754}
5461,His,PERSON,
5466,Holmes,PERSON,{'PERSON': 0.91101061470941}
5469,Scotland Yard,LOCATION,{'LOCATION': 0.69122882574075}
5478,Holmes,PERSON,{'PERSON': 0.93788116806065}
5491,he,PERSON,
5534,Miss Stoner,PERSON,
5542,her,PERSON,
5558,He,PERSON,
5574,his,PERSON,
5591,he,PERSON,
5602,he,PERSON,
5619,Holmes,PERSON,{'PERSON': 0.95807872587567}
5610,He,PERSON,
5633,he,PERSON,
5640,him,PERSON,
5650,his,PERSON,
5655,he,PERSON,
5657,he,PERSON,
5677,his,PERSON,
5712,her,PERSON,
5720,her,PERSON,
5725,Watson,PERSON,{'PERSON': 0.90817852960034}
5765,Sherlock Holmes,PERSON,{'PERSON': 0.99992736926055}
5769,his,PERSON,
5772,He,PERSON,
5775,his,PERSON,
5803,he,PERSON,
5848,1100,DATE,{'DATE': 0.87195231997731}
5910,him,PERSON,
5931,he,PERSON,
5951,Watson,PERSON,{'PERSON': 0.93817480552108}
5990,Waterloo,LOCATION,{'LOCATION': 0.9937547443758}
5973,his,PERSON,
6009,Eley,PERSON,{'PERSON': 0.89782457170644}
